Date,Stock,Company,Sector,Close Price,Daily Gain %,Week Gain %,Volume Spike (x avg),RSI (14d),52W High,52W Low,Dist from 52W High %,Sector Weekly Gain %,Market Cap,P/E Ratio,Revenue (Cr),Revenue QoQ %,Revenue YoY %,Net Profit (Cr),Profit QoQ %,Profit YoY %,Operating Profit (Cr),EBITDA Margin %,EPS,EPS Growth YoY %,Operating CF (Cr),Debt to Equity,ROE %,ROCE %,Growth Flags,News (Last 2 Days)
2026-08-17,VIKRAMSOLR.NS,VIKRAM SOLAR LIMITED,Technology,179.8,12.27,14.67,7.97,49.1,209.95,156.8,-14.36,-2.4,65151315968,17.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,—,"Tamil Nadu government signs MoU with Vikram Solar to set up Rs 15,037 cr BESS plant in Tirunelveli
Announcement under Regulation 30 (LODR)-Earnings Call Transcript
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Announcement under Regulation 30 (LODR)-Credit Rating
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-08-17,MANORAMA.NS,MANORAMA INDUSTRIES LTD,Consumer Defensive,1927.1,10.94,15.12,6.87,74.1,1927.1,1510.8,0.0,0.0,121643163648,46.62,391.34,7.94,87.06,42.48,-41.22,39.44,77.51,19.81,7.12,39.33,N/A,0.52,N/A,N/A,Revenue +87.06% YoY | Profit +39.44% YoY | EPS +39.33% YoY,"Manorama Industries shares surge over 8% after strong Q1 results
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Announcement under Regulation 30 (LODR)-Newspaper Publication
Announcement under Regulation 30 (LODR)-Investor Presentation
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-08-17,RUBICON.NS,RUBICON RESEARCH LIMITED,Healthcare,1781.9,10.05,11.63,7.78,73.1,1781.9,1305.72,0.0,-0.54,294177669120,101.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,—,"Broader market winners! How investors found 15 multibaggers in a muted Nifty year?
Rubicon Research shares can rally 22%, says Motilal Oswal after initiating with ‘Buy’ rating
Buy, Sell or Hold: Motilal Oswal initiates buy on Rubicon Research; Morgan Stanley recommends overweight on Aditya Birla Capital
Announcement under Regulation 30 (LODR)-Newspaper Publication
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-08-17,ELGIEQUIP.NS,ELGI EQUIPMENTS LTD,Industrials,623.95,8.22,6.03,3.12,68.4,623.95,568.35,0.0,0.0,196694917120,43.94,1112.6,10.88,12.06,128.0,34.45,25.49,194.9,17.52,4.06,25.7,N/A,0.24,N/A,N/A,Profit +34.45% QoQ,"Two Trades for Today: A PSU bank for a gain of 6.85%, a mid-cap capital goods stock for an almost 7% upmove
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
Shareholder Meeting / Postal Ballot-Outcome of AGM
Get multiple analysts' prediction on Elgi Equipments"
2026-08-17,UTLSOLAR.NS,FUJIYAMA POWER SYSTEMS L,Technology,456.7,7.75,14.53,2.1,74.4,456.7,307.5,0.0,-2.4,140162039808,44.73,900.77,53.07,166.03,106.32,57.95,254.24,174.29,19.35,3.58,265.48,-4.55,0.41,N/A,N/A,Revenue +166.03% YoY | Revenue +53.07% QoQ | Profit +254.24% YoY | Profit +57.95% QoQ | EPS +265.48% YoY,No recent news
2026-08-17,IPCALAB.NS,IPCA LABORATORIES LTD,Healthcare,1864.0,7.48,10.57,9.49,58.2,1894.02,1533.38,-1.59,-0.54,472904663040,36.07,2388.48,-0.17,6.31,299.07,-8.34,340.98,577.61,24.18,11.79,341.57,N/A,0.08,13.22,8.42,Profit +340.98% YoY | EPS +341.57% YoY,"Picking the right pharma stock is getting harder; so pick a portfolio: 20 stocks with -23% to +22% downside to upside potential
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Announcement under Regulation 30 (LODR)-Newspaper Publication
Shareholder Meeting / Postal Ballot-Scrutinizer''s Report
Get multiple analysts' prediction on Ipca Labs"
2026-08-17,HINDCOPPER.NS,HINDUSTAN COPPER LTD,Basic Materials,566.4,7.06,7.63,2.02,75.7,566.4,473.15,0.0,0.0,547722428416,48.25,1156.08,68.2,58.06,444.06,184.11,134.34,593.01,51.29,4.59,136.6,N/A,0.03,N/A,N/A,Revenue +58.06% YoY | Revenue +68.2% QoQ | Profit +134.34% YoY | Profit +184.11% QoQ | EPS +136.6% YoY | EBITDA Margin 51.29%,"Vedanta, Vedanta Aluminium post strong Q1 gains as metal prices lift earnings
HCL in 'positive direction' on takeover of 4 copper blocks in Chile; advisors studying data
India to require 500,000 tonnes of additional copper refining capacity every five years: ICA India
Announcement under Regulation 30 (LODR)-Change in Directorate
Get multiple analysts' prediction on Hind Copper"
2026-08-17,AVALON.NS,AVALON TECHNOLOGIES LTD,Technology,2068.3,6.57,7.52,1.65,71.8,2068.3,1631.2,0.0,-2.4,138186752000,103.47,484.41,0.94,49.83,34.87,-15.27,145.31,60.77,12.55,5.22,143.93,N/A,0.3,N/A,N/A,Revenue +49.83% YoY | Profit +145.31% YoY | EPS +143.93% YoY,"Silent winners! 43 stocks turned multibaggers even as Nifty went nowhere in 2 years
Broader market winners! How investors found 15 multibaggers in a muted Nifty year?
Holding stocks is harder than finding them: 10 mid- and small-caps stocks that may be worth holding on to
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-08-17,PWL.NS,PHYSICSWALLAH LIMITED,Consumer Defensive,124.76,6.52,-2.16,8.79,52.2,151.38,113.38,-17.58,0.0,356775264256,1782.29,918.8,-15.12,13.48,-74.89,-174.51,-181.71,61.42,6.68,-0.26,-181.13,966.71,0.23,N/A,N/A,—,"PhysicsWallah shares rally 8% after Q1 loss narrows, revenue rises 24% YoY. Should you buy?
Stocks in news: Cochin Shipyard, Voltas, Patanjali Foods, and PhysicsWallah
Zetwerk promoters pledge stake; PhysicsWallah Q1 losses narrow
Announcement under Regulation 30 (LODR)-Newspaper Publication
Get multiple analysts' prediction on Physicswallah"
2026-08-17,PTCIL.NS,PTC INDUSTRIES LIMITED,Industrials,20266.0,6.38,4.63,7.29,79.4,20266.0,16998.0,0.0,0.0,303838986240,241.78,225.47,44.97,84.93,59.91,226.42,143.8,84.4,37.43,39.96,143.66,N/A,0.17,7.02,3.36,Revenue +84.93% YoY | Revenue +44.97% QoQ | Profit +143.8% YoY | Profit +226.42% QoQ | EPS +143.66% YoY | EBITDA Margin 37.43%,"PTC Industries bags two-year BrahMos missile subsystem order
Stocks in news: Waaree Energies, Kotak Bank, HDFC Bank, Strides Pharma, Persistent Systems
Announcement under Regulation 30 (LODR)-Investor Presentation
Announcement under Regulation 30 (LODR)-Press Release / Media Release
Get multiple analysts' prediction on PTC Industries"
