Date,Stock,Company,Daily Gain %,Volume Spike,Sector,Sector Weekly Gain %,Market Cap,Economic Times News
2026-05-29 21:30:46.683367,SBICARD.NS,SBI CARDS & PAY SER LTD,,3.4,Financial Services,2.41,594184830976,
2026-05-29 21:30:49.260742,PINELABS.NS,PINE LABS LIMITED,,3.19,Technology,-0.95,165937414144,"Listed digital payment majors finally turn a corner in FY26
Pine Labs shares rise over 4% after Q4 results. Why Morgan Stanley forecasts 67% upside
Buy, Sell or Hold: Morgan Stanley maintains Equal-Weight on Pine Labs; retains buy on ONGC
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-05-29 21:30:51.259941,STARHEALTH.NS,STAR HEALTH & AL INS CO L,,2.04,Financial Services,2.41,310647652352,
2026-05-29 21:30:53.529602,POWERINDIA.NS,HITACHI ENERGY INDIA LTD,,2.23,Industrials,1.53,1713584472064,"Crude@$100+: The Rs 3 lakh crore power boom you might be missing
Audio Recording Of The Conference Call With Analysts/ Investors Held On May 26, 2026
Announcement under Regulation 30 (LODR)-Newspaper Publication
Announcement under Regulation 30 (LODR)-Investor Presentation
Get multiple analysts' prediction on ABB Power"
2026-05-29 21:30:55.485904,MRF.NS,MRF LTD,,2.37,Consumer Cyclical,0.0,523441864704,"MRF declares Rs 229/share dividend for FY26. Here's everything you need to know
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Appointment of Statutory Auditor/s
Announcement under Regulation 30 (LODR)-Cessation"
2026-05-29 21:30:57.814296,OFSS.NS,ORACLE FIN SERV SOFT LTD.,,2.6,Technology,-0.95,867508944896,
2026-05-29 21:31:03.582717,HAVELLS.NS,HAVELLS INDIA LIMITED,,4.97,Industrials,1.53,738155888640,"Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 22%
Last date to buy L&T, 10 other stocks for dividends. Do you own any?
Dividends, stock splits: L&T, Havells among 15 stocks turning ex-date this week. Check details
Announcement under Regulation 30 (LODR)-Change in Management
Get multiple analysts' prediction on Havells India"
2026-05-29 21:31:05.558856,KALYANKJIL.NS,KALYAN JEWELLERS IND LTD,,4.56,Consumer Cyclical,0.0,366674411520,"Kalyan Jewellers Q4 Results: Cons PAT soars 118% YoY to Rs 409 crore; revenue jumps 66%
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Press Release / Media Release
Board Meeting Outcome for Outcome Of Board Meeting Held On 08Th May 2026
Get multiple analysts' prediction on Kalyan Jewellers Ind"
2026-05-29 21:31:07.146404,MPHASIS.NS,MPHASIS LIMITED,,2.69,Technology,-0.95,433421844480,"Blackstone pledges entire Mphasis stake to refinance loan
IT services giants in a bind as mid-caps soak up the revenue
India crowns Meta AI; More layoffs hit tech
Announcement under Regulation 30 (LODR)-Press Release / Media Release
Get multiple analysts' prediction on Mphasis"
2026-05-29 21:31:09.421000,GVT&D.NS,GE VERNOVA T&D INDIA LTD,,2.86,Industrials,1.53,1318281150464,
2026-05-29 21:31:12.061047,BHARATFORG.NS,BHARAT FORGE LTD,,2.18,Consumer Cyclical,0.0,935715078144,"HAL out, Tata and L&T in: IAF pushes ahead with private firms to fulfil India’s AMCA fifth-generation jet dream
Bharat Forge signs MoU with Andhra Pradesh govt
HDFC Defence Fund increase stake in HAL, Bharat Electronics & 6 other stocks in April
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Bharat Forge"
2026-05-29 21:31:15.081982,PHOENIXLTD.NS,THE PHOENIX MILLS LTD,,3.18,Real Estate,0.0,633452822528,
2026-05-29 21:31:17.831327,HBLENGINE.NS,HBL ENGINEERING LTD,,2.96,Industrials,1.53,228020551680,
2026-05-29 21:31:20.064435,RVNL.NS,RAIL VIKAS NIGAM LIMITED,,6.59,Industrials,1.53,511768199168,"RVNL shares fall 3% as Q4 net profit tumbles 43%; revenue rises just 5%
Stocks in news: Suzlon Energy, Wipro, Hindalco, ICICI Bank, Eicher Motors
RVNL shares jump 6% on railway order worth Rs 967 crore. Check details
Compliances-Reg.24(A)-Annual Secretarial Compliance
Disclosure Under Regulation 30 Of SEBI (LODR) Regulations, 2015- Imposition Of Fine By NSE For The Quarter Ended 31St March, 2026."
2026-05-29 21:31:22.900230,PNBHOUSING.NS,PNB HOUSING FIN LTD.,,2.22,Financial Services,2.41,268537905152,
2026-05-29 21:31:25.869129,LTF.NS,L&T FINANCE LIMITED,,2.08,Financial Services,2.41,718062157824,"These large-caps have ‘strong buy’ & ‘buy’ recos and an upside potential of up to 25%
L&T Finance Q4 profit climbs 27 pc to Rs 807 cr
L&T Finance among 8 stocks flashing bullish signals, hinting at a possible uptrend
Announcement under Regulation 30 (LODR)-Amendments to Memorandum & Articles of Association
Get multiple analysts' prediction on L&T Fin Holding"
2026-05-29 21:31:30.236365,JSWENERGY.NS,JSW ENERGY LIMITED,,2.45,Utilities,0.0,1090320269312,"How JSW Energies’ Rs 3,150-crore JSW Steel stake sale will help lower debt, Jefferies explains
Block deal: JSW Energy sells Rs 3,150 crore JSW Steel stake to GQG, SBI Mutual Fund
Is your portfolio FII-proof? 7 stocks Jefferies says can defy the $53 billion foreign selloff
Allotment Of Equity Shares Pursuant To QIP
Get multiple analysts' prediction on JSW Energy"
2026-05-29 21:31:31.926163,NATIONALUM.NS,NATIONAL ALUMINIUM CO LTD,,8.51,Basic Materials,4.03,779558387712,
2026-05-29 21:31:35.008918,INDIANB.NS,INDIAN BANK,,9.16,Financial Services,2.41,1122021015552,"10 lowest floating vs fixed home loan interest rates: PNB, ICICI Bank, Bank of Baroda and more
These 9 banking stocks have an upside potential of up to 32% in 1 year, according to analysts
Government gives final nod to Emirates NBD's $3 billion majority stake in RBL Bank
Business Responsibility and Sustainability Reporting (BRSR)
Get multiple analysts' prediction on Indian Bank"
2026-05-29 21:31:36.966494,NYKAA.NS,FSN E COMMERCE VENTURES,,3.25,Consumer Cyclical,0.0,751098134528,"Nykaa vs Honasa: Which stock should you buy after Q4 earnings? Here’s what experts say
Listed new-age companies use AI to tune their daily ops engine
Nykaa shares rally 4%, hit 52-week high after Q4. Here's what Goldman Sachs, Morgan Stanley are saying
Compliances-Reg.24(A)-Annual Secretarial Compliance
Get multiple analysts' prediction on FSN E-Comm (Nykaa)"
2026-05-29 21:31:39.424473,WAAREEENER.NS,WAAREE ENERGIES LIMITED,,3.25,Technology,-0.95,903455309824,"RPSG, Inox, Hexa bid for Enel's renewable energy projects in India
Stocks in news: Groww, Dr Reddy's, Waaree Energies, Lenskart, SBI
Waaree Energies eyes solar cell unit in the US
Announcement under Regulation 30 (LODR)-Updates on Acquisition
Get multiple analysts' prediction on Waaree Energies"
2026-05-29 21:31:41.261048,ASHOKLEY.NS,ASHOK LEYLAND LTD,,3.54,Industrials,1.53,913031954432,"CV demand cycle intact despite fuel price volatility and sentiment swings: Shenu Agarwal, Ashok Leyland
Ashok Leyland shares fall 2% after Q4 results. Do Goldman Sachs, Morgan Stanley see any upside?
Stocks in news: RIL, Coal India, IDFC First Bank, Zydus Life, ONGC
Ashok Leyland Q4 Results: Net profit rises 14% to Rs 1,291 crore, firm announces Rs 2.5 interim dividend
Announcement under Regulation 30 (LODR)-Change in Management"
2026-05-29 21:31:42.834500,JYOTICNC.NS,JYOTI CNC AUTOMATION LTD,,8.8,Industrials,1.53,135544168448,"Jyoti CNC shares crash 16% as France probes subsidiary, seizes bank accounts
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Investor Presentation
Submission Of Standalone And Consolidated Financial Results For The Quarter And Year Ended On March 31, 2026.
Get multiple analysts' prediction on Jyoti CNC Automation"
2026-05-29 21:31:44.784021,PERSISTENT.NS,PERSISTENT SYSTEMS LTD,,2.54,Technology,-0.95,811510857728,"IT stocks gain for 3rd day on rupee fall, tempered AI view
IT services giants in a bind as mid-caps soak up the revenue
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Acquisition
Get multiple analysts' prediction on Persistent System"
2026-05-29 21:31:47.062331,AUBANK.NS,AU SMALL FINANCE BANK LTD,,3.08,Financial Services,2.41,736908935168,"FD rate up to 8% for senior citizens investing for three years; Know list of banks
CBI files first chargesheet in Haryana Rs 504 crore fund diversion case
IDFC First Bank case: Haryana govt gives go-ahead to CBI to probe 5 IAS officers' role
Announcement under Regulation 30 (LODR)-Newspaper Publication
Get multiple analysts' prediction on Au Small Fin Bank"
2026-05-29 21:31:49.056233,BDL.NS,BHARAT DYNAMICS LIMITED,,5.83,Industrials,1.53,441561186304,"Stocks in news: RIL, Coal India, IDFC First Bank, Zydus Life, ONGC
Financial Results For The Quarter And Year Ended 31.03.2026
Get multiple analysts' prediction on Bharat Dynamics"
2026-05-29 21:31:50.946276,NAUKRI.NS,INFO EDGE (I) LTD,,2.92,Communication Services,0.0,644498718720,
2026-05-29 21:31:53.157145,VOLTAS.NS,VOLTAS LTD,,2.62,Consumer Cyclical,0.0,412183101440,"Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 33%, according to analysts
Turning 70 in November, Noel gears up to retire from Tata company boards
F&O Talk: Nifty bulls indecisive but opportunities in broader markets. Sudeep Shah's strategy on Voltas, Tejas and 4 more stocks
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Voltas"
2026-05-29 21:31:55.609812,PWL.NS,PHYSICSWALLAH LIMITED,,6.46,Consumer Defensive,-0.75,305186406400,"Buy, Sell or Hold: Goldman Sachs raises target on Physicswallah; maintains buy on Astra Microwave
Swiggy CEO on failed shareholder vote; Indian firms brace for Mythos
Byju gets jail term; SC backs 28% gaming GST
Compliances-Reg.24(A)-Annual Secretarial Compliance
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-05-29 21:31:58.513105,HEROMOTOCO.NS,HERO MOTOCORP LIMITED,,2.42,Consumer Cyclical,0.0,981055700992,"ET Prime Special Series: Multibagger or IBC - Part 60: This auto ancillary built its empire on one family. Can it survive the EV test?
Hero MotoCorp confident of strengthening leadership, riding on new launches, e-scooter sales: CEO Harshavardhan Chitale
Stocks in news: Vodafone Idea, Indian Oil, Tata Steel, Dr Reddy's, PFC
Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011
Get multiple analysts' prediction on Hero MotoCorp"
2026-05-29 21:32:00.511215,BEML.NS,BEML LIMITED,,3.0,Industrials,1.53,143456976896,"Stealth, skies and sovereignty: India's fighter jet plan takes off
Neeraj Dewan bets on defence, realty and NBFCs for long-term growth
Vande Bullet prototype roll out in 2027: Ashwini Vaishnaw
Get multiple analysts' prediction on BEML"
2026-05-29 21:32:02.579442,UPL.NS,UPL LIMITED,,2.72,Basic Materials,4.03,545039220736,
2026-05-29 21:32:04.965270,ALKEM.NS,ALKEM LABORATORIES LTD.,,9.86,Healthcare,-0.51,657368350720,"Sun Pharma deal: Perception changer for Indian pharma sector? 10 pharma stocks with upside potential of up to 38%
Stocks in news: Infosys, Trent, Jio Financial, Hindustan Copper, Adani Energy
Announcement under Regulation 30 (LODR)-Newspaper Publication
Compliances-Reg.24(A)-Annual Secretarial Compliance
Get multiple analysts' prediction on Alkem Labs"
2026-05-29 21:32:07.961120,DABUR.NS,DABUR INDIA LTD,,4.83,Consumer Defensive,-0.75,786454216704,"Byju gets jail term; SC backs 28% gaming GST
Quick commerce becomes FMCG's biggest online sales channel in India
Q-comm sales for FMCG giants double this year
Announcement under Regulation 30 (LODR)-Newspaper Publication
Get multiple analysts' prediction on Dabur India"
2026-05-29 21:32:10.070805,MANKIND.NS,MANKIND PHARMA LIMITED,,2.59,Healthcare,-0.51,980907065344,"Mankind Pharma profit jumps 30% on chronic therapy demand in Q4
Rupee at 95, crude at $120+: Why India's markets are flying blind into a storm
Mankind Pharma’s Rx for success: Aatmanirbhar push, affordable care
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Mankind Pharma"
2026-05-29 21:32:12.755935,WELCORP.NS,WELSPUN CORP LIMITED,,2.21,Basic Materials,4.03,363093950464,"Market Trading Guide: Buy Tata Consumer and Welspun Corp on Tuesday for gains up to 14%
Weekly Top Picks: These stocks scored 10 on 10 on Stock Reports Plus
What war? Smallcap stocks defy Middle East tensions with up to 56% gains in 2 months as Nifty slides
Announcement under Regulation 30 (LODR)-Earnings Call Transcript
Get multiple analysts' prediction on Welspun Corp"
2026-05-29 21:32:15.840193,JUBLFOOD.NS,JUBILANT FOODWORKS LTD,,8.75,Consumer Cyclical,0.0,281158156288,"Jubilant FoodWorks says Haryana PCB directs company to deposit Rs 22.65 lakh environmental compensation
Jubilant Foodworks shares crash 8% after Domino's India operator's Q4 results. What spooked investors?
Jubilant FoodWorks Q4 Results: Domino's parent net profit jumps 67% to Rs 82 crore
Compliances-Reg.24(A)-Annual Secretarial Compliance
Get multiple analysts' prediction on Jubilant Food"
2026-05-29 21:32:18.039979,IDBI.NS,IDBI BANK LIMITED,,2.16,Financial Services,2.41,793849888768,"IDBI Bank stake sale back on table; Centre explores revival options
10 lowest floating vs fixed home loan interest rates: PNB, ICICI Bank, Bank of Baroda and more
Govt weighs options to revive stalled IDBI Bank privatization
Intimation Under Regulation 30 Of The SEBI (LODR) Regulations, 2015
Nippon India Nifty Smallcap 250 Index Direct-G"
2026-05-29 21:32:20.628839,COROMANDEL.NS,COROMANDEL INTERNTL. LTD,,2.47,Basic Materials,4.03,516818075648,
2026-05-29 21:32:22.753799,NMDC.NS,NMDC LTD.,,2.58,Basic Materials,4.03,773591990272,"NMDC hikes iron ore prices by Rs 200 tonne
Nifty eyes 24,800 after healthy correction; Vinay Rajani picks Jindal Steel and NMDC
Market Outlook: Rupak De’s top 3 trading stock picks for the week ahead
Annual Financial Results Of Consolidated And Standalone For The FY 2025-26
Get multiple analysts' prediction on NMDC"
2026-05-29 21:32:25.084676,CASTROLIND.NS,CASTROL INDIA LIMITED,,2.16,Energy,3.44,181226995712,"Castrol India Q4 Results: Profit rises 4% to Rs 242 cr; revenue up 9%
Announcement under Regulation 30 (LODR)-Investor Presentation
Announcement under Regulation 30 (LODR)-Change in Directorate
Get multiple analysts' prediction on Castrol India"
2026-05-29 21:32:27.126944,ICICIAMC.NS,ICICI PRUDENTIAL AMC LTD,,2.26,Financial Services,2.41,1748933804032,"Retail SIP boom boosts AMC outlook; Nippon, ICICI Pru lead pack: Siddhartha Khemka
JioBlackRock Flexi Cap Fund exits Swiggy, 20 other stocks; adds ICICI Pru AMC and 9 more in March
Notice Of The Thirty-Third (33Rd) Annual General Meeting (AGM) And Annual Report For FY2026
Unlock Stock Score, Analyst' Ratings & Recommendations
Get multiple analysts' prediction on ICICI Prudential AMC"
2026-05-29 21:32:29.101160,WOCKPHARMA.NS,WOCKHARDT LIMITED,,3.46,Healthcare,-0.51,330086612992,"Wockhardt shares jump 8%, extend rally after CDSCO nod for Zaynich antibiotic
Wockhardt gets CDSCO nod for Zaynich antibiotic
Geopolitical tensions keep markets nervous despite strong earnings: Dipan Mehta
Compliances-Reg.24(A)-Annual Secretarial Compliance"
2026-05-29 21:32:32.416008,APLAPOLLO.NS,APL APOLLO TUBES LTD,,2.52,Basic Materials,4.03,508420292608,"FIIs bought 120 Indian stocks in Q4 amid Rs 1.3 lakh crore exodus. What's special about them?
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Board Meeting Intimation for Approving The Audited Financial Results For The Quarter And Year Ended March 31, 2026 And Recommendation Of Dividend On Equity Shares, Scheduled To Be Held On 2Nd May, 2026
Get multiple analysts' prediction on APL Apollo Tube"
2026-05-29 21:32:34.391550,PGEL.NS,PG ELECTROPLAST LTD,,4.2,Technology,-0.95,137758179328,"Rupee depreciation forces Indian firms to adopt Yuan payments, boost local sourcing
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Investor Presentation
Get multiple analysts' prediction on PG Electroplast"
2026-05-29 21:32:36.399030,NETWEB.NS,NETWEB TECH INDIA LTD,,5.86,Technology,-0.95,265952886784,
2026-05-29 21:32:38.435553,MCX.NS,MULTI COMMODITY EXCHANGE,,4.81,Financial Services,2.41,751961899008,
2026-05-29 21:32:40.573655,IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,,4.82,Financial Services,2.41,614130057216,"Stocks in news: RIL, Coal India, IDFC First Bank, Zydus Life, ONGC
IDFC First Bank receives Rs 514.82 crore insurance payout on microfinance defaults, expects full provision write-back
CBI files first chargesheet in Haryana Rs 504 crore fund diversion case
Beyond transactions: The potential of mobile banking
Announcement Under Regulation 30 - Update"
2026-05-29 21:32:43.131728,COLPAL.NS,COLGATE PALMOLIVE LTD.,,2.86,Consumer Defensive,-0.75,560263200768,"Stocks in news: Premier Energies, Suzlon Energy, Paytm, Hindalco, ONGC
Colgate-Palmolive India leans on premium products, advertising to drive growth
Colgate-Palmolive India Q4 profit down marginally to Rs 353 cr; FY26 revenue dips to Rs 6,124 cr
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Get multiple analysts' prediction on Colgate-Palmolive"
2026-05-29 21:32:45.267894,MARICO.NS,MARICO LIMITED,,3.42,Consumer Defensive,-0.75,1064774729728,"Byju gets jail term; SC backs 28% gaming GST
Stocks in news: Coal India, Marico, Fino Payments Bank, L&T, Physicswallah
Marico forays into hair cleansing segment with its Parachute Advansed brand
Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
Get multiple analysts' prediction on Marico"
2026-05-29 21:32:46.783288,SRF.NS,SRF LTD,,3.06,Industrials,1.53,804979474432,
2026-05-29 21:32:48.011476,IREDA.NS,INDIAN RENEWABLE ENERGY,,4.35,Financial Services,2.41,374330064896,
2026-05-29 21:32:49.898984,FORTIS.NS,FORTIS HEALTHCARE LTD,,2.33,Healthcare,-0.51,700940877824,"Long-term Investing: Ecosystem with an edge called India; 12 large- mid- and small-cap stocks with upside potential of up to 34%
These large- and mid-cap stocks can give more than 25% return in 1 year, according to analysts
Market will be volatile, look for an alternative solution: 5 large-caps from different sectors with upside potential of up to 30%
Compliances-Reg.24(A)-Annual Secretarial Compliance
Get multiple analysts' prediction on Fortis Healthcare"
2026-05-29 21:32:53.115366,PAGEIND.NS,PAGE INDUSTRIES LTD,,2.78,Consumer Cyclical,0.0,426022207488,"Positive Breakout: These 10 stocks cross above their 200 DMAs
Tech Mahindra among 5 stocks showing bullish RSI upswing
6 high-priced stocks fall up to 40% in FY26; here’s FII and MF exposure
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome
Get multiple analysts' prediction on Page Industries"
