Date,Stock,Company,Sector,Close Price,Daily Gain %,Week Gain %,Volume Spike (x avg),RSI (14d),52W High,52W Low,Dist from 52W High %,Sector Weekly Gain %,Market Cap,P/E Ratio,News (Last 2 Days)
2026-05-29,NETWEB.NS,NETWEB TECH INDIA LTD,Technology,4670.7,14.7,21.28,5.86,62.1,4670.7,3098.8,0.0,0.2,265952886784,128.21,No recent news
2026-05-29,WOCKPHARMA.NS,WOCKHARDT LIMITED,Healthcare,2031.4,14.7,28.95,3.46,81.0,2031.4,1175.7,0.0,-2.19,330086612992,154.95,"Wockhardt secures US FDA approval for antibiotic Zaynich
Wockhardt shares jump 8%, extend rally after CDSCO nod for Zaynich antibiotic
Wockhardt gets CDSCO nod for Zaynich antibiotic
Compliances-Reg.24(A)-Annual Secretarial Compliance"
2026-05-29,TEGA.NS,TEGA INDUSTRIES LIMITED,Industrials,1766.0,10.4,11.61,15.86,61.9,1766.0,1556.0,0.0,-0.3,132675510272,86.19,"Mukul Agrawal purchases 10 new stocks in Q2; ups stake in 5. How many do you own?
Mukul Agarwal invests Rs 100 crore in this multibagger stock that’s up over 200% in 5 years
Autos consolidate, defence a long-term bet, IT valuations attractive: Amnish Aggarwal
Audited Financial Results Of The Company For The Financial Year Ended On March 31, 2026.
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-05-29,CPPLUS.NS,ADITYA INFOTECH LIMITED,Industrials,2903.5,10.0,20.18,2.78,74.7,2903.5,1790.3,0.0,-0.3,342178889728,90.9,"Bandhan Bank, Urban Company among 18 smallcaps where promoters decreased their stakes in Q4
MSCI rejig: These 14 smallcap stocks may see inflows worth $135 million. Do you own?
Dixon Tech shares rocket 7%, reclaim Rs 10,000 mark after government clears JV with China’s HKC
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-05-29,THERMAX.NS,THERMAX LTD,Industrials,4982.7,8.54,8.91,3.55,61.0,4982.7,3213.8,0.0,-0.3,561294540800,78.12,"Two Trades for Today: A real estate major for an upmove of 4.75%, a mid-cap capital goods stock for an almost 6% gain
Thermax shares jump 8% as Q4 profit rises 19% YoY to Rs 244 crore; order book strengthens
Thermax: Putting best foot forward to help reduce carbon footprint
Announcement under Regulation 30 (LODR)-Newspaper Publication
Get multiple analysts' prediction on Thermax"
2026-05-29,JSWDULUX.NS,JSW DULUX LIMITED,Unknown,3151.8,8.47,8.6,9.3,64.3,3151.8,2844.7,0.0,0.0,143533965312,7.27,No recent news
2026-05-29,AFCONS.NS,AFCONS INFRASTRUCTURE LTD,Industrials,339.05,6.6,12.92,1.66,56.1,346.95,271.6,-2.28,-0.3,124697378816,49.79,No recent news
2026-05-29,SIGNATURE.NS,SIGNATUREGLOBAL INDIA LTD,Real Estate,852.7,6.4,3.98,2.87,41.6,905.25,714.2,-5.81,0.0,119813464064,10.95,No recent news
2026-05-29,OLAELEC.NS,OLA ELECTRIC MOBILITY LTD,Consumer Cyclical,41.49,5.73,15.22,3.81,66.3,41.49,22.8,0.0,0.0,174174781440,N/A,No recent news
2026-05-29,CLEAN.NS,CLEAN SCIENCE & TECH LTD,Basic Materials,797.5,5.41,4.84,4.24,31.7,893.1,656.4,-10.7,1.72,84756144128,36.9,No recent news
2026-05-29,RRKABEL.NS,R R KABEL LIMITED,Industrials,2056.3,5.4,5.58,1.75,63.9,2056.3,1293.4,0.0,-0.3,232578859008,47.26,"Stocks to buy for long term: R R Kabel, Brigade Enterprises among 5 stocks that could give 20-40% returns
Buy, sell or hold: Citi raises target price on R R Kabel; maintains buy on Hyundai Motor
Stocks to buy in 2025 for long term: GAIL, Gland Pharma among 5 stocks that could give 12-30% return
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on R R Kabel"
2026-05-29,KIRLOSENG.NS,KIRLOSKAR OIL ENG LTD,Industrials,1928.0,5.36,15.38,2.46,71.0,1928.0,1328.9,0.0,-0.3,280292524032,49.26,No recent news
2026-05-29,ZYDUSWELL.NS,ZYDUS WELLNESS LIMITED,Consumer Defensive,507.05,5.32,3.4,1.78,47.7,517.8,426.35,-2.08,-1.75,161321648128,81.91,"Zydus Lifesciences acquires US pharma firm Assertio for $166 million
Announcement under Regulation 30 (LODR)-Newspaper Publication
Announcement under Regulation 30 (LODR)-Code of Conduct under SEBI (PIT) Regulations, 2015
Unlock Stock Score, Analyst' Ratings & Recommendations
Get multiple analysts' prediction on Zydus Wellness"
2026-05-29,TEJASNET.NS,TEJAS NETWORKS LIMITED,Technology,520.4,5.29,11.16,1.58,66.6,533.4,386.25,-2.44,0.2,92367208448,N/A,"Tata board talks: Chairman Chandra gives the floor to Tata chiefs; calm prevails
Tata Group firm Tejas Networks shares sink 6% after Q4 loss widens by 193%. Check details
Announcement under Regulation 30 (LODR)-Allotment
Announcement under Regulation 30 (LODR)-Press Release / Media Release
Nippon India Nifty Smallcap 250 Index Direct-G"
2026-05-29,NUVOCO.NS,NUVOCO VISTAS CORP LTD,Basic Materials,348.65,5.09,5.99,6.57,60.2,348.65,281.1,0.0,1.72,124522496000,34.59,"Cement companies expect costs, muted demand to dent growth
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Nuvoco Vistas Corp"
